iter	Passed	Remaining
1326	10484	1366
1327	10490	1358
1328	10498	1350
1329	10504	1342
1330	10511	1334
1331	10516	1326
1332	10522	1318
1333	10529	1310
1334	10535	1302
1335	10541	1293
1336	10547	1285
1337	10554	1277
1338	10560	1269
1339	10566	1261
1340	10572	1253
1341	10579	1245
1342	10585	1237
1343	10592	1229
1344	10598	1221
1345	10604	1213
1346	10610	1205
1347	10616	1197
1348	10623	1189
1349	10629	1181
1350	10635	1172
1351	10641	1164
1352	10652	1157
1353	10657	1149
1354	10664	1141
1355	10670	1133
1356	10677	1125
1357	10685	1117
1358	10691	1109
1359	10698	1101
1360	10704	1093
1361	10711	1085
1362	10718	1077
1363	10724	1069
1364	10730	1061
1365	10737	1053
1366	10743	1045
1367	10751	1037
1368	10758	1029
1369	10765	1021
1370	10771	1013
1371	10778	1005
1372	10785	997
1373	10792	989
1374	10799	981
1375	10806	973
1376	10813	965
1377	10821	958
1378	10828	950
1379	10834	942
1380	10840	934
1381	10846	926
1382	10851	918
1383	10857	910
1384	10864	902
1385	10881	895
1386	10889	887
1387	10899	879
1388	10908	871
1389	10914	863
1390	10920	855
1391	10926	847
1392	10933	839
1393	10940	831
1394	10948	824
1395	10954	816
1396	10962	808
1397	10968	800
1398	10975	792
1399	10981	784
1400	10987	776
1401	10998	768
1402	11006	760
1403	11016	753
1404	11025	745
1405	11032	737
1406	11040	729
1407	11047	721
1408	11058	714
1409	11071	706
1410	11087	699
1411	11094	691
1412	11102	683
1413	11111	675
1414	11119	667
1415	11127	660
1416	11134	652
1417	11141	644
1418	11147	636
1419	11154	628
1420	11161	620
1421	11167	612
1422	11174	604
1423	11180	596
1424	11186	588
1425	11192	580
1426	11199	572
1427	11205	564
1428	11211	557
1429	11218	549
1430	11223	541
1431	11229	533
1432	11235	525
1433	11247	517
1434	11253	509
1435	11261	501
1436	11267	493
1437	11273	486
1438	11280	478
1439	11287	470
1440	11294	462
1441	11303	454
1442	11309	446
1443	11327	439
1444	11350	432
1445	11362	424
1446	11373	416
1447	11385	408
1448	11392	400
1449	11400	393
1450	11406	385
1451	11412	377
1452	11418	369
1453	11426	361
1454	11433	353
1455	11439	345
1456	11447	337
1457	11454	329
1458	11462	322
1459	11469	314
1460	11476	306
1461	11483	298
1462	11490	290
1463	11499	282
1464	11506	274
1465	11513	267
1466	11519	259
1467	11525	251
1468	11531	243
1469	11538	235
1470	11544	227
1471	11551	219
1472	11557	211
1473	11563	203
1474	11570	196
1475	11577	188
1476	11583	180
1477	11589	172
1478	11595	164
1479	11601	156
1480	11607	148
1481	11613	141
1482	11620	133
1483	11627	125
1484	11633	117
1485	11639	109
1486	11645	101
1487	11651	93
1488	11658	86
1489	11665	78
1490	11670	70
1491	11676	62
1492	11683	54
1493	11689	46
1494	11696	39
1495	11703	31
1496	11710	23
1497	11717	15
1498	11723	7
1499	11730	0
